21/07/2013 16:40:26.318952 [scalalin_riversandstreams_1000_cellbound_lp] resolved_conflicts 7
21/07/2013 16:40:26.320143 [scalalin_riversandstreams_1000_cellbound_lp] finalized_level 7
21/07/2013 16:40:26.322674 [scalalin_riversandstreams_1000_cellbound_lp] initialized_level 6
21/07/2013 16:40:27.813889 [scalalin_riversandstreams_1000_cellbound_lp] found_conflicts 6
21/07/2013 16:40:27.823910 [scalalin_riversandstreams_1000_cellbound_lp] resolved_conflicts 6
21/07/2013 16:40:27.825103 [scalalin_riversandstreams_1000_cellbound_lp] finalized_level 6
21/07/2013 16:40:27.827614 [scalalin_riversandstreams_1000_cellbound_lp] initialized_level 5
21/07/2013 16:40:28.924771 [scalalin_riversandstreams_1000_cellbound_lp] found_conflicts 5
21/07/2013 16:40:28.930954 [scalalin_riversandstreams_1000_cellbound_lp] resolved_conflicts 5
21/07/2013 16:40:28.932144 [scalalin_riversandstreams_1000_cellbound_lp] finalized_level 5
21/07/2013 16:40:28.934638 [scalalin_riversandstreams_1000_cellbound_lp] initialized_level 4
21/07/2013 16:40:29.898672 [scalalin_riversandstreams_1000_cellbound_lp] found_conflicts 4
21/07/2013 16:40:29.905635 [scalalin_riversandstreams_1000_cellbound_lp] resolved_conflicts 4
21/07/2013 16:40:29.906831 [scalalin_riversandstreams_1000_cellbound_lp] finalized_level 4
21/07/2013 16:40:29.909444 [scalalin_riversandstreams_1000_cellbound_lp] initialized_level 3
21/07/2013 16:40:30.772534 [scalalin_riversandstreams_1000_cellbound_lp] found_conflicts 3
21/07/2013 16:40:30.777170 [scalalin_riversandstreams_1000_cellbound_lp] resolved_conflicts 3
21/07/2013 16:40:30.778388 [scalalin_riversandstreams_1000_cellbound_lp] finalized_level 3
21/07/2013 16:40:30.781025 [scalalin_riversandstreams_1000_cellbound_lp] initialized_level 2
21/07/2013 16:40:31.594120 [scalalin_riversandstreams_1000_cellbound_lp] found_conflicts 2
21/07/2013 16:40:31.599037 [scalalin_riversandstreams_1000_cellbound_lp] resolved_conflicts 2
21/07/2013 16:40:31.600231 [scalalin_riversandstreams_1000_cellbound_lp] finalized_level 2
21/07/2013 16:40:31.602910 [scalalin_riversandstreams_1000_cellbound_lp] initialized_level 1
21/07/2013 16:40:32.411680 [scalalin_riversandstreams_1000_cellbound_lp] found_conflicts 1
21/07/2013 16:40:32.413082 [scalalin_riversandstreams_1000_cellbound_lp] resolved_conflicts 1
21/07/2013 16:40:32.414286 [scalalin_riversandstreams_1000_cellbound_lp] finalized_level 1
21/07/2013 16:40:32.416911 [scalalin_riversandstreams_1000_cellbound_lp] initialized_level 0
21/07/2013 16:40:33.197398 [scalalin_riversandstreams_1000_cellbound_lp] found_conflicts 0
21/07/2013 16:40:33.198817 [scalalin_riversandstreams_1000_cellbound_lp] resolved_conflicts 0
21/07/2013 16:40:33.200000 [scalalin_riversandstreams_1000_cellbound_lp] finalized_level 0
21/07/2013 16:40:33.261900 [scalalin_riversandstreams_1000_cellbound_lp] COMMIT
21/07/2013 16:40:33.262386 [scalalin_riversandstreams_1000_proximity_lp] BEGIN_TRANSACTION
21/07/2013 16:40:33.949226 [scalalin_riversandstreams_1000_proximity_lp] initialized
